WIDTH:30
HEIGHT:30
NUMBER_OF_CUSTOMER:40
NUMBER_OF_CHARGING_STATION:5
NODE_X_Y_TYPE
0 30 18 DEPOT
1 5 19 CUSTOMER
2 21 26 CUSTOMER
3 21 24 CUSTOMER
4 1 29 CUSTOMER
5 7 18 CUSTOMER
6 23 1 CUSTOMER
7 23 19 CUSTOMER
8 26 0 CUSTOMER
9 14 24 CUSTOMER
10 4 29 CUSTOMER
11 13 0 CUSTOMER
12 14 2 CUSTOMER
13 6 4 CUSTOMER
14 8 9 CUSTOMER
15 0 8 CUSTOMER
16 6 8 CUSTOMER
17 0 12 CUSTOMER
18 3 2 CUSTOMER
19 1 0 CUSTOMER
20 1 13 CUSTOMER
21 27 19 CUSTOMER
22 26 15 CUSTOMER
23 17 25 CUSTOMER
24 14 30 CUSTOMER
25 19 17 CUSTOMER
26 2 0 CUSTOMER
27 19 9 CUSTOMER
28 7 19 CUSTOMER
29 28 29 CUSTOMER
30 8 10 CUSTOMER
31 21 18 CUSTOMER
32 18 23 CUSTOMER
33 12 6 CUSTOMER
34 1 17 CUSTOMER
35 1 5 CUSTOMER
36 8 22 CUSTOMER
37 7 14 CUSTOMER
38 4 20 CUSTOMER
39 4 3 CUSTOMER
40 21 1 CUSTOMER
41 30 6 CHARGING_STATION
42 8 3 CHARGING_STATION
43 27 5 CHARGING_STATION
44 1 20 CHARGING_STATION
45 25 7 CHARGING_STATION
