WIDTH:100
HEIGHT:100
NUMBER_OF_CUSTOMER:20
NUMBER_OF_CHARGING_STATION:3
NODE_X_Y_TYPE
0 78 26 DEPOT
1 35 59 CUSTOMER
2 47 59 CUSTOMER
3 76 43 CUSTOMER
4 87 69 CUSTOMER
5 0 51 CUSTOMER
6 2 95 CUSTOMER
7 73 74 CUSTOMER
8 81 55 CUSTOMER
9 75 87 CUSTOMER
10 76 17 CUSTOMER
11 28 91 CUSTOMER
12 74 58 CUSTOMER
13 52 62 CUSTOMER
14 24 1 CUSTOMER
15 35 98 CUSTOMER
16 36 53 CUSTOMER
17 86 18 CUSTOMER
18 23 20 CUSTOMER
19 16 33 CUSTOMER
20 4 13 CUSTOMER
21 58 77 CHARGING_STATION
22 51 54 CHARGING_STATION
23 29 53 CHARGING_STATION
