WIDTH:30
HEIGHT:30
NUMBER_OF_CUSTOMER:30
NUMBER_OF_CHARGING_STATION:4
NODE_X_Y_TYPE
0 11 17 DEPOT
1 15 23 CUSTOMER
2 18 27 CUSTOMER
3 26 15 CUSTOMER
4 7 13 CUSTOMER
5 15 2 CUSTOMER
6 4 22 CUSTOMER
7 0 14 CUSTOMER
8 27 20 CUSTOMER
9 4 2 CUSTOMER
10 4 21 CUSTOMER
11 23 8 CUSTOMER
12 9 26 CUSTOMER
13 0 30 CUSTOMER
14 2 16 CUSTOMER
15 24 12 CUSTOMER
16 12 20 CUSTOMER
17 23 26 CUSTOMER
18 7 3 CUSTOMER
19 21 14 CUSTOMER
20 2 5 CUSTOMER
21 3 10 CUSTOMER
22 7 27 CUSTOMER
23 3 28 CUSTOMER
24 5 17 CUSTOMER
25 19 25 CUSTOMER
26 14 11 CUSTOMER
27 6 8 CUSTOMER
28 6 3 CUSTOMER
29 27 17 CUSTOMER
30 2 14 CUSTOMER
31 13 11 CHARGING_STATION
32 30 5 CHARGING_STATION
33 19 5 CHARGING_STATION
34 24 23 CHARGING_STATION
