WIDTH:30
HEIGHT:30
NUMBER_OF_CUSTOMER:50
NUMBER_OF_CHARGING_STATION:6
NODE_X_Y_TYPE
0 9 2 DEPOT
1 20 30 CUSTOMER
2 20 12 CUSTOMER
3 0 25 CUSTOMER
4 3 9 CUSTOMER
5 4 20 CUSTOMER
6 22 15 CUSTOMER
7 12 7 CUSTOMER
8 16 9 CUSTOMER
9 23 25 CUSTOMER
10 22 1 CUSTOMER
11 15 7 CUSTOMER
12 20 28 CUSTOMER
13 28 5 CUSTOMER
14 8 30 CUSTOMER
15 29 20 CUSTOMER
16 29 12 CUSTOMER
17 6 15 CUSTOMER
18 19 27 CUSTOMER
19 2 19 CUSTOMER
20 2 27 CUSTOMER
21 4 23 CUSTOMER
22 19 29 CUSTOMER
23 28 25 CUSTOMER
24 24 18 CUSTOMER
25 20 8 CUSTOMER
26 17 5 CUSTOMER
27 21 30 CUSTOMER
28 29 3 CUSTOMER
29 5 2 CUSTOMER
30 24 23 CUSTOMER
31 11 19 CUSTOMER
32 19 5 CUSTOMER
33 4 27 CUSTOMER
34 18 12 CUSTOMER
35 2 3 CUSTOMER
36 3 15 CUSTOMER
37 10 20 CUSTOMER
38 23 7 CUSTOMER
39 28 16 CUSTOMER
40 13 1 CUSTOMER
41 5 15 CUSTOMER
42 5 5 CUSTOMER
43 4 2 CUSTOMER
44 11 12 CUSTOMER
45 22 5 CUSTOMER
46 24 14 CUSTOMER
47 21 24 CUSTOMER
48 30 7 CUSTOMER
49 24 13 CUSTOMER
50 23 17 CUSTOMER
51 0 23 CHARGING_STATION
52 18 25 CHARGING_STATION
53 22 21 CHARGING_STATION
54 1 23 CHARGING_STATION
55 29 13 CHARGING_STATION
56 28 1 CHARGING_STATION
