No,Dataset,PopSize,MaxIter,Fitness,TotalDistance,TotalEnergy,RechargeCount,Feasible,Route
1,10_Customers,20,200,0.000492,101.50,2029.95,2,YA,"V0(Depot) -> V1 -> V5 -> V7 -> V2 -> CS1 -> V8 -> V9 -> V4 -> V3 -> CS2 -> V6 -> V10 -> V0(Depot)"
2,10_Customers,20,500,0.000492,101.50,2029.95,2,YA,"V0(Depot) -> V1 -> V5 -> V7 -> V2 -> CS1 -> V8 -> V9 -> V4 -> V3 -> CS2 -> V6 -> V10 -> V0(Depot)"
3,10_Customers,20,1000,0.000492,101.50,2029.95,2,YA,"V0(Depot) -> V1 -> V5 -> V7 -> V2 -> CS1 -> V8 -> V9 -> V4 -> V3 -> CS2 -> V6 -> V10 -> V0(Depot)"
4,10_Customers,50,200,0.000492,101.50,2029.95,2,YA,"V0(Depot) -> V1 -> V5 -> V7 -> V2 -> CS1 -> V8 -> V9 -> V4 -> V3 -> CS2 -> V6 -> V10 -> V0(Depot)"
5,10_Customers,50,500,0.000492,101.50,2029.95,2,YA,"V0(Depot) -> V1 -> V5 -> V7 -> V2 -> CS1 -> V8 -> V9 -> V4 -> V3 -> CS2 -> V6 -> V10 -> V0(Depot)"
6,10_Customers,50,1000,0.000492,101.50,2029.95,2,YA,"V0(Depot) -> V1 -> V5 -> V7 -> V2 -> CS1 -> V8 -> V9 -> V4 -> V3 -> CS2 -> V6 -> V10 -> V0(Depot)"
7,10_Customers,100,200,0.000492,101.50,2029.95,2,YA,"V0(Depot) -> V1 -> V5 -> V7 -> V2 -> CS1 -> V8 -> V9 -> V4 -> V3 -> CS2 -> V6 -> V10 -> V0(Depot)"
8,10_Customers,100,500,0.000492,101.50,2029.95,2,YA,"V0(Depot) -> V1 -> V5 -> V7 -> V2 -> CS1 -> V8 -> V9 -> V4 -> V3 -> CS2 -> V6 -> V10 -> V0(Depot)"
9,10_Customers,100,1000,0.000492,101.50,2029.95,2,YA,"V0(Depot) -> V1 -> V5 -> V7 -> V2 -> CS1 -> V8 -> V9 -> V4 -> V3 -> CS2 -> V6 -> V10 -> V0(Depot)"
10,20_Customers,20,200,0.000415,120.39,2407.80,2,YA,"V0(Depot) -> V13 -> V18 -> V7 -> V17 -> V10 -> V19 -> V9 -> V6 -> CS2 -> V8 -> V3 -> V14 -> V12 -> V11 -> V20 -> V15 -> CS1 -> V5 -> V2 -> V4 -> V16 -> V1 -> V0(Depot)"
11,20_Customers,20,500,0.000421,118.84,2376.87,2,YA,"V0(Depot) -> V15 -> V5 -> V2 -> V20 -> V11 -> V12 -> V14 -> CS2 -> V6 -> V9 -> V19 -> V10 -> V17 -> V8 -> V3 -> V4 -> CS3 -> V1 -> V16 -> V7 -> V18 -> V13 -> V0(Depot)"
