WIDTH:30
HEIGHT:30
NUMBER_OF_CUSTOMER:20
NUMBER_OF_CHARGING_STATION:3
NODE_X_Y_TYPE
0 19 4 DEPOT
1 19 9 CUSTOMER
2 26 12 CUSTOMER
3 13 17 CUSTOMER
4 18 14 CUSTOMER
5 27 9 CUSTOMER
6 10 23 CUSTOMER
7 10 8 CUSTOMER
8 11 15 CUSTOMER
9 10 26 CUSTOMER
10 8 21 CUSTOMER
11 22 25 CUSTOMER
12 19 26 CUSTOMER
13 19 3 CUSTOMER
14 16 20 CUSTOMER
15 29 8 CUSTOMER
16 15 11 CUSTOMER
17 3 13 CUSTOMER
18 14 6 CUSTOMER
19 8 27 CUSTOMER
20 29 24 CUSTOMER
21 27 7 CHARGING_STATION
22 13 22 CHARGING_STATION
23 19 15 CHARGING_STATION
